Sr.No,GPU Name,Prices,link
119,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and ASUS TUF Gaming GeForce RTX 3080 Video Card LHR TUF-RTX3080-12G-GAMING,1360,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493191
120,Tiny Tina's Wonderlands [Epic Online Game Code] and ASUS TUF Gaming GeForce RTX 3080 Video Card LHR TUF-RTX3080-12G-GAMING,1363,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493091
121,PC Game Pass - 3 Month Membership US [Digital Code] and ASUS TUF Gaming GeForce RTX 3080 Ti Video Card TUF-RTX3080TI-12G-GAMING,1369,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493395
122,ELDEN RING - PC [Steam Online Game Code] and ASUS TUF Gaming GeForce RTX 3080 Video Card LHR TUF-RTX3080-12G-GAMING,1376,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493855
123,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and ASUS TUF Gaming GeForce RTX 3080 Ti Video Card TUF-RTX3080TI-12G-GAMING,1388,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493195
124,Tiny Tina's Wonderlands [Epic Online Game Code] and ASUS TUF Gaming GeForce RTX 3080 Ti Video Card TUF-RTX3080TI-12G-GAMING,1391,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493095
125,"ZOTAC GAMING GeForce RTX 3080 AMP Holo 10GB GDDR6X 320-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, HoloBlack, IceStorm 2.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-A30800F-10P",1399,https://www.newegg.com/zotac-geforce-rtx-3080-zt-a3080f-10p/p/N82E16814500513?Item=N82E16814500513&Description=3080&cm_re=3080-_-14-500-513-_-Product
126,ELDEN RING - PC [Steam Online Game Code] and ASUS TUF Gaming GeForce RTX 3080 Ti Video Card TUF-RTX3080TI-12G-GAMING,1404,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493859
127,GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TEAGLE-12GD,1429,https://www.newegg.com/gigabyte-geforce-rtx-3080-ti-gv-n308teagle-12gd/p/N82E16814932439?Item=N82E16814932439&Description=3080&cm_re=3080-_-14-932-439-_-Product
128,PC Game Pass - 3 Month Membership US [Digital Code] and GIGABYTE Eagle GeForce RTX 3080 Ti Video Card GV-N308TEAGLE-12GD,1449,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493668
129,LEGO® Star Wars™: The Skywalker Saga Deluxe Edition - PC [Online Game Code] and GIGABYTE Eagle GeForce RTX 3080 Ti Video Card GV-N308TEAGLE-12GD,1468,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493580
130,MSI Ventus GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 Ti VENTUS 3X 12G,1469,https://www.newegg.com/msi-geforce-rtx-3080-ti-rtx-3080-ti-ventus-3x-12g/p/N82E16814137656?Item=N82E16814137656&Description=3080&cm_re=3080-_-14-137-656-_-Product
131,Tiny Tina's Wonderlands [Epic Online Game Code] and GIGABYTE Eagle GeForce RTX 3080 Ti Video Card GV-N308TEAGLE-12GD,1471,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493536
132,ELDEN RING - PC [Steam Online Game Code] and GIGABYTE Eagle GeForce RTX 3080 Ti Video Card GV-N308TEAGLE-12GD,1484,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493956
133,PC Game Pass - 3 Month Membership US [Digital Code] and MSI Gaming GeForce RTX 3080 Ti Video Card RTX 3080 Ti GAMING TRIO 12G,1489,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493666
134,PC Game Pass - 3 Month Membership US [Digital Code] and MSI Ventus GeForce RTX 3080 Ti Video Card RTX 3080 Ti VENTUS 3X 12G,1489,https://www.newegg.com/Product/ComboDealDetails?ItemList=Combo.4493671
